Region,Year ,Month,Price
Koreatown,2011,5,338200
Los Feliz,2011,5,671900
Mid City,2011,5,360300
Mid Wilshire,2011,5,467600
Palms,2011,5,496800
Pico-Union,2011,5,262600
Sawtelle,2011,5,538900
Silver Lake,2011,5,549800
Southeast Los Angeles,2011,5,156100
West Adams,2011,5,247500
Westwood,2011,5,600000
Bel Air,2011,7,1074000
Boyle Heights,2011,7,186100
Central City,2011,7,175000
Century City,2011,7,698900
Crenshaw,2011,7,287900
Downtown,2011,7,389300
Eagle Rock,2011,7,393000
Echo Park,2011,7,374000
Harbor City,2011,7,245400
Highland Park,2011,7,344400
Hollywood,2011,7,435500
Hyde Park,2011,7,227500
Jefferson Park,2011,7,244900
Koreatown,2011,7,330600
Los Feliz,2011,7,681700
Mid City,2011,7,355600
Mid Wilshire,2011,7,464900
Palms,2011,7,482900
Pico-Union,2011,7,261900
Sawtelle,2011,7,529500
Silver Lake,2011,7,548800
Southeast Los Angeles,2011,7,157500
West Adams,2011,7,243100
Westwood,2011,7,592800
Bel Air,2011,9,1050700
Boyle Heights,2011,9,188100
Central City,2011,9,173300
Century City,2011,9,701200
Crenshaw,2011,9,288300
Downtown,2011,9,388700
Eagle Rock,2011,9,391200
Echo Park,2011,9,359500
Harbor City,2011,9,239100
Highland Park,2011,9,340100
Hollywood,2011,9,433600
Hyde Park,2011,9,226400
Jefferson Park,2011,9,242600
Koreatown,2011,9,326700
Los Feliz,2011,9,672200
Mid City,2011,9,355100
Mid Wilshire,2011,9,463100
Palms,2011,9,476000
Pico-Union,2011,9,255600
Sawtelle,2011,9,525400
Silver Lake,2011,9,542300
Southeast Los Angeles,2011,9,159200
West Adams,2011,9,240000
Westwood,2011,9,592900
Bel Air,2011,11,1055100
Boyle Heights,2011,11,189700
Central City,2011,11,171700
Century City,2011,11,704200
Crenshaw,2011,11,286900
Downtown,2011,11,395300
Eagle Rock,2011,11,394500
Echo Park,2011,11,362800
Harbor City,2011,11,228900
Highland Park,2011,11,337600
Hollywood,2011,11,431900
Hyde Park,2011,11,228200
Jefferson Park,2011,11,243100
Koreatown,2011,11,325400
Los Feliz,2011,11,673200
Mid City,2011,11,352700
